area,region,geo_lookup,industrial_size,rental_industrial_2022:2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,latitude,longitude
 Tongaat,Durban," Tongaat, Durban, South Africa", 500m�,58.33,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Umbilo/Sydney Rd/Magwaza Maphalala St (Gale),Durban," Umbilo/Sydney Rd/Magwaza Maphalala St (Gale), Durban, South Africa", 500m�,67.33,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Umbogintwini/Southgate,Durban," Umbogintwini/Southgate, Durban, South Africa", 500m�,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Umgeni Park,Durban," Umgeni Park, Durban, South Africa", 500m�,81.25,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8053559,31.0189902
 Umgeni Rd/Stamford Hill,Durban," Umgeni Rd/Stamford Hill, Durban, South Africa", 500m�,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8194005,31.0273238
 Verulam,Durban," Verulam, Durban, South Africa", 500m�,61.67,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Westmead,Durban," Westmead, Durban, South Africa", 500m�,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,-29.8579,31.0292
 Arcadia,East London," Arcadia, East London, South Africa", 500m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.0083333,27.905
 Braelyn,East London," Braelyn, East London, South Africa", 500m�,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 Chiselhurst,East London," Chiselhurst, East London, South Africa", 500m�,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,-32.9855556,27.8861111
 East London average,East London," East London average, East London, South Africa", 500m�,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 Gately/Woodbrook,East London," Gately/Woodbrook, East London, South Africa", 500m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 Meisies Halt,East London," Meisies Halt, East London, South Africa", 500m�,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 Northend,East London," Northend, East London, South Africa", 500m�,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 West Bank Industrial Area,East London," West Bank Industrial Area, East London, South Africa", 500m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-33.01529,27.91162
 Wilsonia,East London," Wilsonia, East London, South Africa", 500m�,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,-32.9730794,27.8213719
 Aeroport/Spartan Ext 2,East Rand," Aeroport/Spartan Ext 2, East Rand, South Africa", 500m�,55.75,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Alberton,East Rand," Alberton, East Rand, South Africa", 500m�,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Alrode & Xs,East Rand," Alrode & Xs, East Rand, South Africa", 500m�,42.25,,,,,,,,,,,,,,,,,,,,,,,,,,-26.2982628,28.1202109
 Alrode South,East Rand," Alrode South, East Rand, South Africa", 500m�,42.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Bartletts,East Rand," Bartletts, East Rand, South Africa", 500m�,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Delville,East Rand," Delville, East Rand, South Africa", 500m�,37.33,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Driehoek/Industries W,East Rand," Driehoek/Industries W, East Rand, South Africa", 500m�,45.67,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 East Rand average,East Rand," East Rand average, East Rand, South Africa", 500m�,52.77,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
 Eastleigh,East Rand," Eastleigh, East Rand, South Africa", 500m�,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,-26.17722,28.22194
