area,region,geo_lookup,office_grade,rental_office_2022:2,latitude,longitude
 Woodstock,Cape Town, Woodstock; Cape Town; South Africa, grade C,70.0,42.0410578,-74.1182492
 Wynberg,Cape Town, Wynberg; Cape Town; South Africa, grade C,83.33,-34.0036249,18.4672507
 Durban Berea,Durban, Durban Berea; Durban; South Africa, grade C,69.3,-29.8505556,31.0019444
 Durban CBD,Durban, Durban CBD; Durban; South Africa, grade C,85.0,,
 Hillcrest-Kloof (Upper Highway),Durban, Hillcrest-Kloof (Upper Highway); Durban; South Africa, grade C,111.67,,
 Umhlanga,Durban, Umhlanga; Durban; South Africa, grade C,100.0,-31.4642608,27.213629
 Westway,Durban, Westway; Durban; South Africa, grade C,100.0,31.9591108,-106.575002
 Beacon Bay,East London, Beacon Bay; East London; South Africa, grade C,97.5,-32.9694444,27.9447222
 Berea East London,East London, Berea East London; East London; South Africa, grade C,85.0,-32.9902778,27.9172222
 Chiselhurst,East London, Chiselhurst; East London; South Africa, grade C,81.5,-32.9855556,27.8861111
 East London CBD,East London, East London CBD; East London; South Africa, grade C,62.5,,
 Southernwood,East London, Southernwood; East London; South Africa, grade C,58.33,-33.0019444,27.9041667
 Vincent,East London, Vincent; East London; South Africa, grade C,87.33,46.7862,5.48925
 Benoni CBD,East Rand, Benoni CBD; East Rand; South Africa, grade C,55.0,,
 Boksburg CBD,East Rand, Boksburg CBD; East Rand; South Africa, grade C,56.25,,
 Boksburg North,East Rand, Boksburg North; East Rand; South Africa, grade C,45.0,-26.2084475,28.2535265
 Germiston,East Rand, Germiston; East Rand; South Africa, grade C,92.5,-26.229444,28.180556
 Gqeberha CBD,Gqeberha, Gqeberha CBD; Gqeberha; South Africa, grade C,53.33,,
 Humerail/Humewood,Gqeberha, Humerail/Humewood; Gqeberha; South Africa, grade C,86.67,-33.9710789,25.6343252
 Newton Park/Cape Road,Gqeberha, Newton Park/Cape Road; Gqeberha; South Africa, grade C,70.5,-33.9480154,25.5585652
 South End,Gqeberha, South End; Gqeberha; South Africa, grade C,57.5,42.34131,-71.0772298
" Walmer Park 1, 2 & 3",Gqeberha," Walmer Park 1, 2 & 3; Gqeberha; South Africa", grade C,81.25,47.28167,8.45023
 Bedfordview,Johannesburg  , Bedfordview; Johannesburg  ; South Africa, grade C,85.0,-26.1763889,28.1425
 Braamfontein,Johannesburg  , Braamfontein; Johannesburg  ; South Africa, grade C,77.5,-26.1923008,28.0361353
 Bruma,Johannesburg  , Bruma; Johannesburg  ; South Africa, grade C,77.0,43.1539661,-8.3637157
 Chislehurston,Johannesburg  , Chislehurston; Johannesburg  ; South Africa, grade C,95.0,,
 Constantia Kloof,Johannesburg  , Constantia Kloof; Johannesburg  ; South Africa, grade C,95.0,-26.1447222,27.9097222
 Dunkeld West,Johannesburg  , Dunkeld West; Johannesburg  ; South Africa, grade C,93.0,39.7598061,-105.0190455
 Eastgate/Kramerville,Johannesburg  , Eastgate/Kramerville; Johannesburg  ; South Africa, grade C,85.0,,
 Fourways,Johannesburg  , Fourways; Johannesburg  ; South Africa, grade C,87.6,-26.004472,28.0042447
 Greenstone,Johannesburg  , Greenstone; Johannesburg  ; South Africa, grade C,65.0,49.7188752,-86.9493168
 Hendrik Potgieter Corridor (incl. Ruimsig),Johannesburg  , Hendrik Potgieter Corridor (incl. Ruimsig); Johannesburg  ; South Africa, grade C,85.5,,
 Illovo,Johannesburg  , Illovo; Johannesburg  ; South Africa, grade C,101.5,-26.1227778,28.0552778
 Johannesburg CBD,Johannesburg  , Johannesburg CBD; Johannesburg  ; South Africa, grade C,57.5,,
 Midrand,Johannesburg  , Midrand; Johannesburg  ; South Africa, grade C,60.83,-25.999262,28.125912
 Morningside,Johannesburg  , Morningside; Johannesburg  ; South Africa, grade C,87.5,55.9296409,-3.2100796
 Ormonde,Johannesburg  , Ormonde; Johannesburg  ; South Africa, grade C,62.0,40.8550386,-90.6131898
 Parktown,Johannesburg  , Parktown; Johannesburg  ; South Africa, grade C,89.4,-26.1816667,28.0277778
 Randburg Ferndale,Johannesburg  , Randburg Ferndale; Johannesburg  ; South Africa, grade C,62.5,-26.0847222,27.9894444
 Richmond/Milpark,Johannesburg  , Richmond/Milpark; Johannesburg  ; South Africa, grade C,67.5,,
 Rivonia,Johannesburg  , Rivonia; Johannesburg  ; South Africa, grade C,78.86,-26.0533333,28.0594444
 Rosebank,Johannesburg  , Rosebank; Johannesburg  ; South Africa, grade C,103.5,55.7260463,-3.9022029
 Sandton CBD,Johannesburg  , Sandton CBD; Johannesburg  ; South Africa, grade C,91.88,-1.283352,36.8258824
 Sunninghill,Johannesburg  , Sunninghill; Johannesburg  ; South Africa, grade C,72.25,51.4015129,-0.6559139
 Wierda Valley,Johannesburg  , Wierda Valley; Johannesburg  ; South Africa, grade C,85.0,-26.1130093,28.0573371
 Woodmead,Johannesburg  , Woodmead; Johannesburg  ; South Africa, grade C,77.14,-26.0433333,28.0644444
 Mbombela CBD,Mbombela, Mbombela CBD; Mbombela; South Africa, grade C,72.0,,
 Mbombela dec,Mbombela, Mbombela dec; Mbombela; South Africa, grade C,99.0,39.84031,-88.9548
 Peripheral CBD,Pietermaritzburg, Peripheral CBD; Pietermaritzburg; South Africa, grade C,85.0,,
 Pietermaritzburg Core CBD,Pietermaritzburg, Pietermaritzburg Core CBD; Pietermaritzburg; South Africa, grade C,65.0,,
 Pietermaritzburg dec,Pietermaritzburg, Pietermaritzburg dec; Pietermaritzburg; South Africa, grade C,90.0,39.84031,-88.9548
 Polokwane,Polokwane, Polokwane; Polokwane; South Africa, grade C,88.33,-23.9058333,29.4613889
 Arcadia,Pretoria, Arcadia; Pretoria; South Africa, grade C,75.0,34.1362075,-118.0401497
 Brooklyn/Waterkloof,Pretoria, Brooklyn/Waterkloof; Pretoria; South Africa, grade C,95.0,-25.7740102,28.2400475
 Centurion,Pretoria, Centurion; Pretoria; South Africa, grade C,90.0,-25.836389,28.180278
 Faerie Glen,Pretoria, Faerie Glen; Pretoria; South Africa, grade C,87.5,-25.7816666,28.3077777
 Hatfield/Hillcrest,Pretoria, Hatfield/Hillcrest; Pretoria; South Africa, grade C,93.0,-25.7476402,28.2378733
 Highveld Extensions,Pretoria, Highveld Extensions; Pretoria; South Africa, grade C,110.0,,
 Lynnwood,Pretoria, Lynnwood; Pretoria; South Africa, grade C,88.75,47.8278656,-122.3053932
 Lynnwood Glen,Pretoria, Lynnwood Glen; Pretoria; South Africa, grade C,87.5,-25.7727778,28.2794444
 Lynnwood Manor,Pretoria, Lynnwood Manor; Pretoria; South Africa, grade C,100.0,-25.7630556,28.2811111
